student_id,name,email,department,semester,year_of_study
112,Anjali Sen,anjali.sen@college.edu,AI,1,1
113,Anjali Shah,anjali.shah@college.edu,Information Technology,8,2
114,Anjali Sharma,anjali.sharma@college.edu,Computer Science,7,1
115,Anjali Singh,anjali.singh@college.edu,AI,7,1
116,Ankit Desai,ankit.desai@college.edu,Information Technology,7,2
117,Ankit Ghosh,ankit.ghosh@college.edu,Data Science,7,1
118,Ankit Gill,ankit.gill@college.edu,Computer Science,5,4
119,Ankit Iyer,ankit.iyer@college.edu,Information Technology,5,1
120,Ankit Kapoor,ankit.kapoor@college.edu,Data Science,6,4
121,Ankit Pandey,ankit.pandey@college.edu,Information Technology,2,4
122,Ankit Saxena,ankit.saxena@college.edu,Data Science,3,4
123,Ankit Singh,ankit.singh@college.edu,Computer Science,3,3
124,Ankit Thakur,ankit.thakur@college.edu,AI,7,1
125,Ankit Tiwari,ankit.tiwari@college.edu,Data Science,6,2
126,Arjun Arora,arjun.arora@college.edu,Information Technology,8,2
127,Arjun Hegde,arjun.hegde@college.edu,Computer Science,4,1
128,Arjun Iyer,arjun.iyer@college.edu,Data Science,2,3
129,Arjun Mukherjee,arjun.mukherjee@college.edu,Information Technology,6,3
130,Arjun Pandey,arjun.pandey@college.edu,Information Technology,2,4
131,Arjun Patil,arjun.patil@college.edu,Information Technology,2,1
132,Ayush Chopra,ayush.chopra@college.edu,Data Science,2,1
133,Ayush Gill,ayush.gill@college.edu,Data Science,6,2
134,Ayush Kulkarni,ayush.kulkarni@college.edu,Data Science,7,1
135,Ayush Menon,ayush.menon@college.edu,AI,3,3
136,Ayush Patel,ayush.patel@college.edu,Data Science,3,1
137,Ayush Patil,ayush.patil@college.edu,Data Science,7,2
138,Ayush Singh,ayush.singh@college.edu,Data Science,2,4
139,Bhavana Bajaj,bhavana.bajaj@college.edu,AI,4,2
140,Bhavana Bose,bhavana.bose@college.edu,Data Science,1,2
141,Bhavana Chauhan,bhavana.chauhan@college.edu,Information Technology,6,4
142,Bhavana Chopra,bhavana.chopra@college.edu,Data Science,1,2
143,Bhavana Joshi,bhavana.joshi@college.edu,Information Technology,8,2
144,Bhavana Malhotra,bhavana.malhotra@college.edu,Information Technology,7,1
145,Bhavana Saxena,bhavana.saxena@college.edu,Information Technology,4,1
146,Bhavana Singh,bhavana.singh@college.edu,AI,6,4
147,Bhavana Verma,bhavana.verma@college.edu,AI,7,1
148,Chirag Bajaj,chirag.bajaj@college.edu,AI,2,1
149,Chirag Bhatt,chirag.bhatt@college.edu,Data Science,3,2
150,Chirag Bose,chirag.bose@college.edu,Information Technology,1,3
151,Chirag Das,chirag.das@college.edu,AI,5,1
152,Chirag Ghosh,chirag.ghosh@college.edu,AI,5,3
153,Chirag Mehta,chirag.mehta@college.edu,Data Science,4,1
154,Chirag Mukherjee,chirag.mukherjee@college.edu,AI,2,1
155,Chirag Patel,chirag.patel@college.edu,Data Science,8,4
156,Chirag Patil,chirag.patil@college.edu,Computer Science,1,4
157,Chirag Saxena,chirag.saxena@college.edu,AI,2,4
158,Deepak Bajaj,deepak.bajaj@college.edu,Computer Science,1,3
159,Deepak Bhatt,deepak.bhatt@college.edu,Data Science,4,2
160,Deepak Chatterjee,deepak.chatterjee@college.edu,Information Technology,4,1
161,Deepak Dutta,deepak.dutta@college.edu,AI,8,1
162,Deepak Joshi,deepak.joshi@college.edu,Data Science,5,1
163,Deepak Kapoor,deepak.kapoor@college.edu,Information Technology,2,3
164,Deepak Malhotra,deepak.malhotra@college.edu,Information Technology,6,4
165,Deepak Nair,deepak.nair@college.edu,Computer Science,5,2
166,Deepak Patil,deepak.patil@college.edu,Data Science,2,3
167,Deepak Thakur,deepak.thakur@college.edu,Information Technology,5,4
168,Deepika Agarwal,deepika.agarwal@college.edu,AI,6,3
169,Deepika Chauhan,deepika.chauhan@college.edu,AI,3,2
170,Deepika Das,deepika.das@college.edu,Computer Science,3,4
171,Deepika Ghosh,deepika.ghosh@college.edu,Information Technology,8,3
172,Deepika Jain,deepika.jain@college.edu,Data Science,3,2
173,Deepika Nair,deepika.nair@college.edu,AI,3,1
174,Deepika Pandey,deepika.pandey@college.edu,Information Technology,7,2
175,Deepika Patil,deepika.patil@college.edu,Information Technology,1,1
176,Deepika Roy,deepika.roy@college.edu,Computer Science,7,3
177,Deepika Sen,deepika.sen@college.edu,AI,7,4
178,Dev Desai,dev.desai@college.edu,AI,8,4
179,Dev Dubey,dev.dubey@college.edu,Data Science,7,3
180,Dev Gill,dev.gill@college.edu,AI,3,4
181,Dev Hegde,dev.hegde@college.edu,Data Science,6,4
182,Dev Kapoor,dev.kapoor@college.edu,AI,8,1
183,Dev Khanna,dev.khanna@college.edu,Computer Science,8,3
184,Dev Kulkarni,dev.kulkarni@college.edu,AI,4,2
185,Dev Malhotra,dev.malhotra@college.edu,Data Science,8,1
186,Dev Mehta,dev.mehta@college.edu,Data Science,4,3
187,Dev Patel,dev.patel@college.edu,Computer Science,8,1
188,Dev Thakur,dev.thakur@college.edu,AI,1,2
189,Dhruv Bose,dhruv.bose@college.edu,AI,3,2
190,Dhruv Dutta,dhruv.dutta@college.edu,Computer Science,8,3
191,Dhruv Jain,dhruv.jain@college.edu,AI,3,2
192,Dhruv Joshi,dhruv.joshi@college.edu,AI,3,1
193,Dhruv Kulkarni,dhruv.kulkarni@college.edu,Data Science,5,2
194,Dhruv Mehta,dhruv.mehta@college.edu,AI,8,1
195,Dhruv Mishra,dhruv.mishra@college.edu,AI,2,1
196,Dhruv Nair,dhruv.nair@college.edu,Computer Science,5,2
197,Dhruv Pillai,dhruv.pillai@college.edu,Computer Science,2,3
198,Dhruv Trivedi,dhruv.trivedi@college.edu,Information Technology,3,4
199,Divya Agarwal,divya.agarwal@college.edu,Data Science,3,2
200,Divya Banerjee,divya.banerjee@college.edu,AI,5,1
201,Divya Bose,divya.bose@college.edu,AI,5,1
202,Divya Ghosh,divya.ghosh@college.edu,Information Technology,2,2
203,Divya Kapoor,divya.kapoor@college.edu,AI,4,3
204,Divya Kaur,divya.kaur@college.edu,Data Science,2,3
205,Divya Khanna,divya.khanna@college.edu,Information Technology,5,1
206,Divya Mishra,divya.mishra@college.edu,Data Science,6,1
207,Divya Patil,divya.patil@college.edu,Information Technology,5,3
208,Divya Rao,divya.rao@college.edu,Information Technology,6,4
209,Divya Roy,divya.roy@college.edu,Computer Science,1,2
210,Divya Shetty,divya.shetty@college.edu,Data Science,5,1
211,Divya Verma,divya.verma@college.edu,AI,1,1
212,Diya Banerjee,diya.banerjee@college.edu,AI,4,3
213,Diya Bhat,diya.bhat@college.edu,Data Science,2,2
214,Diya Dutta,diya.dutta@college.edu,AI,6,3
215,Diya Joshi,diya.joshi@college.edu,AI,2,2
216,Diya Menon,diya.menon@college.edu,Data Science,1,2
217,Diya Patil,diya.patil@college.edu,Information Technology,6,2
218,Diya Sharma,diya.sharma@college.edu,Data Science,2,1
219,Diya Thakur,diya.thakur@college.edu,Information Technology,5,4
220,Gaurav Bhat,gaurav.bhat@college.edu,AI,3,3
221,Gaurav Bose,gaurav.bose@college.edu,AI,1,4
222,Gaurav Chopra,gaurav.chopra@college.edu,AI,2,3
223,Gaurav Kaur,gaurav.kaur@college.edu,Computer Science,1,2
224,Gaurav Pandey,gaurav.pandey@college.edu,Information Technology,7,1
225,Gaurav Patil,gaurav.patil@college.edu,Computer Science,1,4
226,Gaurav Sethi,gaurav.sethi@college.edu,Computer Science,6,1
227,Gaurav Singh,gaurav.singh@college.edu,Data Science,7,3
228,Gaurav Trivedi,gaurav.trivedi@college.edu,Computer Science,8,1
229,Harsh Arora,harsh.arora@college.edu,Data Science,6,1
230,Harsh Bajaj,harsh.bajaj@college.edu,Data Science,3,4
231,Harsh Banerjee,harsh.banerjee@college.edu,Computer Science,7,2
232,Harsh Chopra,harsh.chopra@college.edu,Information Technology,8,1
233,Harsh Iyer,harsh.iyer@college.edu,Information Technology,5,2
234,Harsh Joshi,harsh.joshi@college.edu,Information Technology,1,3
235,Harsh Mehta,harsh.mehta@college.edu,Information Technology,2,1
236,Himanshu Bhat,himanshu.bhat@college.edu,Information Technology,4,4
237,Himanshu Bhatt,himanshu.bhatt@college.edu,Computer Science,1,3
238,Himanshu Bose,himanshu.bose@college.edu,Computer Science,8,3
239,Himanshu Desai,himanshu.desai@college.edu,AI,1,4
240,Himanshu Ghosh,himanshu.ghosh@college.edu,Information Technology,3,1
241,Himanshu Jain,himanshu.jain@college.edu,Computer Science,5,1
242,Himanshu Menon,himanshu.menon@college.edu,AI,4,3
243,Himanshu Patil,himanshu.patil@college.edu,Information Technology,7,1
244,Himanshu Shah,himanshu.shah@college.edu,Data Science,7,2
245,Himanshu Shetty,himanshu.shetty@college.edu,AI,7,4
246,Isha Bhatt,isha.bhatt@college.edu,Computer Science,8,2
247,Isha Bose,isha.bose@college.edu,Data Science,6,1
248,Isha Gupta,isha.gupta@college.edu,Data Science,6,3
249,Isha Hegde,isha.hegde@college.edu,Data Science,2,4
250,Isha Jain,isha.jain@college.edu,AI,4,1
251,Isha Malhotra,isha.malhotra@college.edu,Computer Science,7,1
252,Isha Menon,isha.menon@college.edu,Data Science,6,3
253,Isha Mishra,isha.mishra@college.edu,Information Technology,8,3
254,Isha Nair,isha.nair@college.edu,Data Science,2,2
255,Isha Patel,isha.patel@college.edu,Data Science,5,4
256,Isha Patil,isha.patil@college.edu,AI,2,4
257,Isha Rao,isha.rao@college.edu,AI,6,3
258,Isha Reddy,isha.reddy@college.edu,Computer Science,3,2
259,Isha Trivedi,isha.trivedi@college.edu,Information Technology,8,4
260,Ishaan Dubey,ishaan.dubey@college.edu,AI,3,3
261,Ishaan Dutta,ishaan.dutta@college.edu,Data Science,7,1
262,Ishaan Ghosh,ishaan.ghosh@college.edu,Computer Science,3,4
263,Ishaan Iyer,ishaan.iyer@college.edu,Data Science,7,2
264,Ishaan Pandey,ishaan.pandey@college.edu,Data Science,7,2
265,Ishaan Patil,ishaan.patil@college.edu,AI,6,2
266,Ishaan Pillai,ishaan.pillai@college.edu,Computer Science,3,1
267,Ishaan Reddy,ishaan.reddy@college.edu,Information Technology,7,4
268,Ishaan Shetty,ishaan.shetty@college.edu,Information Technology,4,4
269,Ishaan Thakur,ishaan.thakur@college.edu,AI,5,1
270,Ishaan Verma,ishaan.verma@college.edu,AI,2,4
271,Ishita Bajaj,ishita.bajaj@college.edu,Computer Science,2,1
272,Ishita Hegde,ishita.hegde@college.edu,Information Technology,6,1
273,Ishita Iyer,ishita.iyer@college.edu,Information Technology,3,1
274,Ishita Joshi,ishita.joshi@college.edu,Information Technology,3,2
275,Ishita Mehta,ishita.mehta@college.edu,Data Science,7,4
276,Ishita Sen,ishita.sen@college.edu,Information Technology,8,1
277,Ishita Verma,ishita.verma@college.edu,Data Science,1,4
278,Jyoti Banerjee,jyoti.banerjee@college.edu,Computer Science,7,2
279,Jyoti Bhatt,jyoti.bhatt@college.edu,Data Science,5,1
280,Jyoti Hegde,jyoti.hegde@college.edu,Computer Science,4,3
281,Jyoti Iyer,jyoti.iyer@college.edu,Information Technology,2,2
282,Jyoti Jain,jyoti.jain@college.edu,Information Technology,7,3
283,Jyoti Khanna,jyoti.khanna@college.edu,Computer Science,1,4
284,Jyoti Kumar,jyoti.kumar@college.edu,AI,1,4
285,Jyoti Mehta,jyoti.mehta@college.edu,Computer Science,7,2
286,Jyoti Mishra,jyoti.mishra@college.edu,AI,6,4
287,Jyoti Mukherjee,jyoti.mukherjee@college.edu,Data Science,2,3
288,Jyoti Shah,jyoti.shah@college.edu,Data Science,6,1
289,Jyoti Thakur,jyoti.thakur@college.edu,Data Science,4,1
290,Karan Arora,karan.arora@college.edu,Information Technology,1,1
291,Karan Bajaj,karan.bajaj@college.edu,Data Science,1,2
292,Karan Chatterjee,karan.chatterjee@college.edu,AI,5,4
293,Karan Chauhan,karan.chauhan@college.edu,Data Science,4,3
294,Karan Dutta,karan.dutta@college.edu,Computer Science,1,4
295,Karan Gupta,karan.gupta@college.edu,Computer Science,4,4
296,Karan Khanna,karan.khanna@college.edu,Information Technology,2,4
297,Karan Kulkarni,karan.kulkarni@college.edu,Computer Science,3,1
298,Karan Rao,karan.rao@college.edu,AI,1,3
299,Karan Singh,karan.singh@college.edu,Data Science,5,3
300,Kartik Bhat,kartik.bhat@college.edu,Information Technology,2,4
301,Kartik Bose,kartik.bose@college.edu,Data Science,7,1
302,Kartik Das,kartik.das@college.edu,Data Science,4,1
303,Kartik Gill,kartik.gill@college.edu,AI,7,3
304,Kartik Jain,kartik.jain@college.edu,Computer Science,6,1
305,Kartik Malhotra,kartik.malhotra@college.edu,Computer Science,2,1
306,Kartik Mehta,kartik.mehta@college.edu,Data Science,7,1
307,Kartik Saxena,kartik.saxena@college.edu,Information Technology,8,2
308,Kartik Sharma,kartik.sharma@college.edu,Computer Science,8,4
309,Kartik Thakur,kartik.thakur@college.edu,Information Technology,1,3
310,Kartik Tiwari,kartik.tiwari@college.edu,Computer Science,4,3
311,Kartik Trivedi,kartik.trivedi@college.edu,Information Technology,3,2
312,Kavya Banerjee,kavya.banerjee@college.edu,AI,2,4
313,Kavya Chopra,kavya.chopra@college.edu,Information Technology,1,3
314,Kavya Ghosh,kavya.ghosh@college.edu,AI,5,1
315,Kavya Mehta,kavya.mehta@college.edu,AI,6,3
316,Kavya Pandey,kavya.pandey@college.edu,Information Technology,4,1
317,Kavya Singh,kavya.singh@college.edu,AI,2,2
318,Kavya Thakur,kavya.thakur@college.edu,Data Science,8,1
319,Kavya Tiwari,kavya.tiwari@college.edu,AI,2,3
320,Kiara Arora,kiara.arora@college.edu,Computer Science,3,3
321,Kiara Bajaj,kiara.bajaj@college.edu,Information Technology,8,3
322,Kiara Bhat,kiara.bhat@college.edu,Data Science,3,2
323,Kiara Bose,kiara.bose@college.edu,Information Technology,5,2
324,Kiara Gupta,kiara.gupta@college.edu,Computer Science,6,4
325,Kiara Hegde,kiara.hegde@college.edu,Computer Science,5,3
326,Kiara Malhotra,kiara.malhotra@college.edu,Computer Science,1,1
327,Kiara Rao,kiara.rao@college.edu,AI,1,2
328,Kiara Sethi,kiara.sethi@college.edu,AI,5,3
329,Kiara Singh,kiara.singh@college.edu,Information Technology,6,3
330,Komal Arora,komal.arora@college.edu,Information Technology,5,2
331,Komal Chatterjee,komal.chatterjee@college.edu,Data Science,6,4
332,Komal Ghosh,komal.ghosh@college.edu,Data Science,6,2
333,Komal Gill,komal.gill@college.edu,Information Technology,7,2
334,Komal Gupta,komal.gupta@college.edu,AI,8,1
335,Komal Iyer,komal.iyer@college.edu,Computer Science,4,1
336,Komal Malhotra,komal.malhotra@college.edu,Information Technology,6,4
337,Komal Menon,komal.menon@college.edu,Data Science,3,3
338,Komal Mishra,komal.mishra@college.edu,AI,6,2
339,Komal Pandey,komal.pandey@college.edu,Information Technology,6,4
340,Komal Patel,komal.patel@college.edu,Information Technology,6,1
341,Komal Shah,komal.shah@college.edu,AI,7,2
342,Komal Tiwari,komal.tiwari@college.edu,Information Technology,8,3
343,Kriti Banerjee,kriti.banerjee@college.edu,AI,7,1
344,Kriti Chopra,kriti.chopra@college.edu,Computer Science,1,1
345,Kriti Kaur,kriti.kaur@college.edu,AI,7,1
346,Kriti Khanna,kriti.khanna@college.edu,AI,3,4
347,Kriti Kumar,kriti.kumar@college.edu,AI,3,3
348,Kriti Mishra,kriti.mishra@college.edu,Information Technology,7,2
349,Kriti Nair,kriti.nair@college.edu,Information Technology,8,4
350,Kriti Singh,kriti.singh@college.edu,AI,5,4
351,Kunal Agarwal,kunal.agarwal@college.edu,Information Technology,4,4
352,Kunal Bhat,kunal.bhat@college.edu,Data Science,8,1
353,Kunal Das,kunal.das@college.edu,Data Science,7,3
354,Kunal Desai,kunal.desai@college.edu,Information Technology,6,4
355,Kunal Gill,kunal.gill@college.edu,Information Technology,2,2
356,Kunal Jain,kunal.jain@college.edu,AI,4,3
357,Kunal Malhotra,kunal.malhotra@college.edu,Computer Science,4,2
358,Kunal Nair,kunal.nair@college.edu,Information Technology,3,3
359,Kunal Sen,kunal.sen@college.edu,Data Science,4,2
360,Lakshmi Bhatt,lakshmi.bhatt@college.edu,AI,7,1
361,Lakshmi Hegde,lakshmi.hegde@college.edu,Information Technology,6,4
362,Lakshmi Khanna,lakshmi.khanna@college.edu,Data Science,6,2
363,Lakshmi Patil,lakshmi.patil@college.edu,Data Science,1,3
364,Lakshmi Roy,lakshmi.roy@college.edu,Computer Science,6,4
365,Lakshmi Sethi,lakshmi.sethi@college.edu,AI,8,4
366,Lakshmi Shah,lakshmi.shah@college.edu,AI,6,3
367,Lakshmi Thakur,lakshmi.thakur@college.edu,Computer Science,3,2
368,Madhavi Bajaj,madhavi.bajaj@college.edu,Computer Science,6,1
369,Madhavi Bose,madhavi.bose@college.edu,AI,1,1
370,Madhavi Hegde,madhavi.hegde@college.edu,AI,2,2
371,Madhavi Khanna,madhavi.khanna@college.edu,Information Technology,7,4
372,Madhavi Mehta,madhavi.mehta@college.edu,Information Technology,3,4
373,Madhavi Patel,madhavi.patel@college.edu,Computer Science,8,4
374,Madhavi Shetty,madhavi.shetty@college.edu,Information Technology,2,4
375,Madhavi Singh,madhavi.singh@college.edu,Data Science,3,2
376,Madhavi Verma,madhavi.verma@college.edu,Information Technology,5,4
377,Manish Banerjee,manish.banerjee@college.edu,Information Technology,4,3
378,Manish Dubey,manish.dubey@college.edu,Data Science,5,4
379,Manish Iyer,manish.iyer@college.edu,Computer Science,6,1
380,Manish Menon,manish.menon@college.edu,Data Science,2,4
381,Manish Mukherjee,manish.mukherjee@college.edu,Information Technology,6,2
382,Manish Sethi,manish.sethi@college.edu,Computer Science,4,1
383,Manish Shah,manish.shah@college.edu,Information Technology,3,2
384,Manish Trivedi,manish.trivedi@college.edu,Data Science,4,2
385,Manoj Agarwal,manoj.agarwal@college.edu,Data Science,1,1
386,Manoj Chopra,manoj.chopra@college.edu,Information Technology,4,2
387,Manoj Dutta,manoj.dutta@college.edu,AI,1,2
388,Manoj Iyer,manoj.iyer@college.edu,AI,4,4
389,Manoj Kapoor,manoj.kapoor@college.edu,Data Science,7,3
390,Manoj Kaur,manoj.kaur@college.edu,Data Science,1,2
391,Manoj Mehta,manoj.mehta@college.edu,AI,2,2
392,Manoj Mishra,manoj.mishra@college.edu,AI,6,2
393,Manoj Pandey,manoj.pandey@college.edu,Information Technology,8,4
394,Manoj Patel,manoj.patel@college.edu,Information Technology,6,3
395,Manoj Saxena,manoj.saxena@college.edu,AI,5,1
396,Manoj Sen,manoj.sen@college.edu,Information Technology,6,4
397,Manoj Thakur,manoj.thakur@college.edu,Information Technology,3,4
398,Mansi Ghosh,mansi.ghosh@college.edu,Computer Science,7,3
399,Mansi Joshi,mansi.joshi@college.edu,Information Technology,4,3
400,Mansi Kumar,mansi.kumar@college.edu,Data Science,5,4
401,Mansi Malhotra,mansi.malhotra@college.edu,Information Technology,3,1
402,Mansi Patel,mansi.patel@college.edu,Information Technology,3,4
403,Mansi Rao,mansi.rao@college.edu,AI,1,3
404,Mansi Saxena,mansi.saxena@college.edu,Data Science,6,1
405,Mansi Singh,mansi.singh@college.edu,Information Technology,2,3
406,Mansi Trivedi,mansi.trivedi@college.edu,Information Technology,8,1
407,Mansi Verma,mansi.verma@college.edu,Computer Science,2,2
408,Meera Bhat,meera.bhat@college.edu,Information Technology,5,3
409,Meera Chauhan,meera.chauhan@college.edu,Information Technology,7,3
410,Meera Dubey,meera.dubey@college.edu,Computer Science,2,4
411,Meera Iyer,meera.iyer@college.edu,AI,4,3
412,Meera Kapoor,meera.kapoor@college.edu,Information Technology,2,3
413,Meera Khanna,meera.khanna@college.edu,Computer Science,5,2
414,Meera Pillai,meera.pillai@college.edu,Data Science,8,3
415,Mira Arora,mira.arora@college.edu,AI,2,2
416,Mira Bose,mira.bose@college.edu,Data Science,4,2
417,Mira Chopra,mira.chopra@college.edu,Data Science,1,2
418,Mira Hegde,mira.hegde@college.edu,Computer Science,7,2
419,Mira Khanna,mira.khanna@college.edu,Information Technology,5,1
420,Mira Mishra,mira.mishra@college.edu,Computer Science,1,4
421,Mira Pillai,mira.pillai@college.edu,Computer Science,1,1
422,Mira Sethi,mira.sethi@college.edu,Computer Science,1,3
423,Mira Singh,mira.singh@college.edu,Computer Science,3,1
424,Mohit Desai,mohit.desai@college.edu,AI,7,1
